S.No,Product Listing,Scientific Name,Price,URL,Variegated,Type,Combo Names,Units
1,Sansevieria Combo Offer Of 6 (A),Sansevieria (Combo),Rs. 350.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-6,False,Combo,"['Mini Boncel', 'Francisii', 'Silver Steel', 'Kirkii Silver Blue', 'Subspicata', 'Boncel Small Size']",6
2,Sansevieria Combo Offer Of 6 (L),Sansevieria (Combo),Rs. 450.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-6-l,False,Combo,"['Coppertone', 'Silver Siam', 'Silver Princess', 'Trifaciata Robusta', 'Fernwood', 'Gracilis Large']",6
3,Sansevieria Combo Offer Of 6 (B),Sansevieria (Combo),Rs. 299.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-7,False,Combo,"['Cylindrica', 'Hybrid Delhi', 'Motomo', 'Silver Nymph', 'Gracilis', 'Tiger']",6
4,Sansevieria Combo Offer Of 6 (H),Sansevieria (Combo),Rs. 450.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-6-h,False,Combo,"['Coppertone', 'Fischeri Singularis', 'Kirkii Silver Blue', 'Midnight Fountain', 'Hybrid Delhi Large', 'Francisii']",6
5,Sansevieria Combo Offer Of 5 (D),Sansevieria (Combo),Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-5,False,Combo,"['Kirkii Silver Blue', 'Patens', 'Fernwood', 'Whalefin', 'Coppertone']",5
6,Sansevieria Combo Offer Of 6 (K),Sansevieria (Combo),Rs. 350.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-6-k,False,Combo,"['Parva', 'Lady Charm Pup', 'Cylindrica', 'Mini Boncel', 'Francisii', 'Subspicata']",6
7,Sansevieria Combo Offer Of 6 (F),Sansevieria (Combo),Rs. 299.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-10,False,Combo,"['Silver Nymph', 'Gracilis', 'Silver Steel', 'Parva', 'Subspicata', 'Crocodile Rock']",6
8,Sansevieria Combo Offer Of 6 (G),Sansevieria (Combo),Rs. 350.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-6-g,False,Combo,"['Cylindrica', 'Gracilis', 'Kirkii Silver Blue', 'Parva', 'Subspicata', 'Mini Boncel']",6
9,Sansevieria Silver Princess Clump,Sansevieria Princess Siam,Rs. 350.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-silver-princess-clump,False,Clump,[],1
10,Sansevieria Combo Offer Of 6 (C),Sansevieria (Combo),Rs. 299.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-8,False,Combo,"['Silver Nymph', 'Tiger', 'Moto', 'Silver Steel', 'Motomo', 'Hybrid Delhi']",6
